사고발생_년도,사고발생_월일,사고발생_시간,행정동,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고세부유형,법규위반,큰도로형태,세부도로형태,가해운전자 상해정도,피해운전자 상해정도
2017년,6월22일,04시,공릉동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로부근,상해없음,중상
2017년,7월5일,02시,상계동,사망사고,1,0,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,사망
2017년,7월5일,02시,상계동,경상사고,0,0,1,0,횡단중,신호위반,단일로,기타,상해없음,경상
2017년,7월22일,00시,월계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로횡단보도내,상해없음,경상
2017년,8월12일,03시,하계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로횡단보도내,상해없음,중상
2017년,8월15일,05시,하계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,경상
2017년,9월2일,03시,공릉동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2017년,9월9일,04시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2017년,9월11일,00시,공릉동,경상사고,0,0,1,0,횡단중,신호위반,단일로,기타,상해없음,경상
2017년,9월19일,05시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2017년,9월29일,02시,상계동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로횡단보도내,기타불명,경상
2017년,10월21일,01시,상계동,부상신고사고,0,0,0,1,차도통행중,안전운전불이행,교차로,교차로안,상해없음,부상신고
2017년,10월22일,05시,상계동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2017년,10월29일,01시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2017년,11월20일,05시,상계동,중상사고,0,1,1,0,차도통행중,안전운전불이행,단일로,기타,경상,중상
2017년,11월24일,05시,공릉동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2017년,11월25일,00시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2017년,11월28일,05시,하계동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,교차로,교차로부근,상해없음,부상신고
2017년,12월3일,00시,하계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,경상
2017년,12월30일,01시,상계동,경상사고,0,0,2,0,횡단중,보행자보호의무위반,단일로,기타,상해없음,경상
2018년,1월1일,05시,하계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,기타,상해없음,경상
2018년,1월9일,00시,상계동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,중상
2018년,1월11일,05시,상계동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로횡단보도내,상해없음,경상
2018년,1월12일,01시,월계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,기타,상해없음,경상
2018년,1월16일,05시,월계동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2018년,1월23일,00시,상계동,경상사고,0,0,2,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2018년,1월26일,01시,상계동,사망사고,1,0,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,사망
2018년,2월3일,00시,상계동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,단일로,기타,기타불명,부상신고
2018년,2월12일,05시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로횡단보도내,상해없음,경상
2018년,2월27일,01시,월계동,중상사고,0,1,0,0,차도통행중,안전운전불이행,교차로,교차로부근,상해없음,중상
2018년,3월1일,01시,중계동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로횡단보도내,상해없음,경상
2018년,3월4일,01시,상계동,중상사고,0,1,1,0,차도통행중,안전운전불이행,단일로,기타,상해없음,상해없음
2018년,4월1일,04시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2018년,4월3일,00시,상계동,중상사고,0,2,0,0,차도통행중,신호위반,교차로,교차로안,기타불명,중상
2018년,4월11일,00시,월계동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,경상
2018년,4월13일,04시,상계동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로안,상해없음,중상
2018년,4월14일,04시,상계동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,중상
2018년,4월21일,01시,공릉동,경상사고,0,0,1,0,횡단중,안전운전불이행,기타,기타,상해없음,경상
2018년,4월23일,05시,중계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2018년,4월25일,04시,상계동,사망사고,1,0,0,0,횡단중,안전운전불이행,교차로,교차로안,기타불명,사망
2018년,5월1일,02시,공릉동,중상사고,0,1,1,0,횡단중,신호위반,교차로,교차로횡단보도내,상해없음,중상
2018년,5월7일,04시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2018년,5월12일,05시,상계동,중상사고,0,1,1,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,중상
2018년,5월16일,04시,중계동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로안,상해없음,경상
2018년,6월13일,01시,하계동,사망사고,1,0,0,1,횡단중,안전운전불이행,단일로,지하차도(도로)내,상해없음,사망
2018년,6월29일,00시,중계동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로횡단보도내,상해없음,중상
2018년,7월7일,00시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2018년,7월19일,02시,공릉동,사망사고,1,0,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,사망
2018년,7월21일,04시,중계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2018년,8월7일,04시,공릉동,사망사고,1,0,0,0,횡단중,안전운전불이행,기타,기타,상해없음,사망
2018년,9월14일,02시,상계동,경상사고,0,0,2,0,차도통행중,안전운전불이행,단일로,기타,상해없음,경상
2018년,9월19일,00시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
